ccode,name,currency,region,income
ABW,Aruba,Aruban florin,Latin America & Caribbean,High income
AFG,Afghanistan,Afghan afghani,South Asia,Low income
AGO,Angola,Angolan kwanza,Sub-Saharan Africa,Lower middle income
ALB,Albania,Albanian lek,Europe & Central Asia,Upper middle income
AND,Andorra,Euro,Europe & Central Asia,High income
ARE,United Arab Emirates,U.A.E. dirham,Middle East & North Africa,High income
ARG,Argentina,Argentine peso,Latin America & Caribbean,Upper middle income
ARM,Armenia,Armenian dram,Europe & Central Asia,Upper middle income
ASM,American Samoa,U.S. dollar,East Asia & Pacific,Upper middle income
ATG,Antigua and Barbuda,East Caribbean dollar,Latin America & Caribbean,High income
AUS,Australia,Australian dollar,East Asia & Pacific,High income
AUT,Austria,Euro,Europe & Central Asia,High income
AZE,Azerbaijan,New Azeri manat,Europe & Central Asia,Upper middle income
BDI,Burundi,Burundi franc,Sub-Saharan Africa,Low income
BEL,Belgium,Euro,Europe & Central Asia,High income
BEN,Benin,West African CFA franc,Sub-Saharan Africa,Low income
BFA,Burkina Faso,West African CFA franc,Sub-Saharan Africa,Low income
BGD,Bangladesh,Bangladeshi taka,South Asia,Lower middle income
BGR,Bulgaria,Bulgarian lev,Europe & Central Asia,Upper middle income
BHR,Bahrain,Bahraini dinar,Middle East & North Africa,High income
BHS,The Bahamas,Bahamian dollar,Latin America & Caribbean,High income
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina convertible mark,Europe & Central Asia,Upper middle income
BLR,Belarus,Belarusian rubel,Europe & Central Asia,Upper middle income
BLZ,Belize,Belize dollar,Latin America & Caribbean,Upper middle income
BMU,Bermuda,Bermuda dollar,North America,High income
BOL,Bolivia,Bolivian Boliviano,Latin America & Caribbean,Lower middle income
BRA,Brazil,Brazilian real,Latin America & Caribbean,Upper middle income
BRB,Barbados,Barbados dollar,Latin America & Caribbean,High income
BRN,Brunei,Brunei dollar,East Asia & Pacific,High income
BTN,Bhutan,Bhutanese ngultrum,South Asia,Lower middle income
BWA,Botswana,Botswana pula,Sub-Saharan Africa,Upper middle income
CAF,Central African Republic,Central African CFA franc,Sub-Saharan Africa,Low income
CAN,Canada,Canadian dollar,North America,High income
CHE,Switzerland,Swiss franc,Europe & Central Asia,High income
CHI,Channel Islands,Pound sterling,Europe & Central Asia,High income
CHL,Chile,Chilean peso,Latin America & Caribbean,High income
CHN,China,Chinese yuan,East Asia & Pacific,Upper middle income
CIV,Côte d'Ivoire,West African CFA franc,Sub-Saharan Africa,Lower middle income
CMR,Cameroon,Central African CFA franc,Sub-Saharan Africa,Lower middle income
